Customer_Id,Age,Region,Category,Payment_Mode,Frequency,Monetary,Average_Order_Value,Tenure_Days,Complaint_Return_Count,Delivery_Days,Avg_Session_Time,Cart_Abandon_Rate,Recency,Churn_Flag
10068,46.0,East,Home,Card,7,12292.58,3041.24,203,0,7.4,9.6,0.48,40,0
10069,21.0,North,Beauty,UPI,5,8437.5,2575.91,569,3,1.2,11.1,0.59,54,0
10070,60.0,South,Electronics,UPI,4,3297.89,2555.25,1043,3,1.2,8.1,0.44,72,0
10071,23.0,South,Beauty,Card,4,7161.44,2428.55,167,2,2.9,7.6,0.76,106,1
10072,53.0,West,Beauty,COD,4,8966.31,5371.5,481,1,5.7,7.4,0.79,67,0
10073,23.0,South,Electronics,Net Banking,6,5668.26,1596.05,972,0,6.6,5.7,0.8,71,0
10074,21.0,West,Electronics,UPI,7,5504.41,2365.18,1254,1,5.5,6.4,0.67,49,0
10075,19.0,South,Home,UPI,7,3746.72,2661.74,962,0,4.8,5.6,0.21,39,0
10076,38.0,South,Sports,Card,6,21086.98,2529.91,522,1,6.8,8.9,0.09,3,0
10077,57.0,North,Electronics,UPI,7,11385.05,454.44,1121,1,3.5,4.7,0.36,76,1
10078,29.0,South,Fashion,Card,7,22694.45,1649.2,805,1,7.3,7.9,0.67,33,0
10079,39.0,West,Sports,UPI,9,3548.72,3920.8,527,0,7.7,7.8,0.17,54,0
10080,56.0,East,Beauty,Card,7,10359.23,1137.5,836,1,3.3,5.9,0.69,67,0
10081,29.0,West,Sports,Card,6,6964.79,349.96,1478,2,7.0,4.3,0.55,54,0
10082,44.0,South,Electronics,UPI,5,25869.54,3518.38,907,1,5.2,6.9,0.49,77,0
10083,30.0,North,Fashion,COD,4,26298.33,2755.67,342,0,6.8,8.5,0.78,96,0
10084,62.0,West,Fashion,UPI,6,7073.44,1694.25,190,1,2.2,6.1,0.23,65,0
10085,44.0,North,Home,UPI,8,8829.55,1264.01,518,0,2.3,9.5,0.23,17,0
10086,51.0,West,Beauty,UPI,3,13354.24,3176.61,990,1,6.0,2.7,0.34,32,0
10087,30.0,West,Home,Card,7,3363.26,1899.36,134,2,4.6,3.6,0.39,47,0
10088,50.0,South,Electronics,Card,9,19200.44,1247.24,872,0,6.1,11.6,0.5,17,0
10089,28.0,South,Electronics,Card,5,14565.39,3634.2,268,1,5.0,7.1,0.32,58,0
10090,22.0,East,Fashion,COD,2,9601.14,1335.09,1363,0,4.8,4.1,0.44,74,0
10091,37.0,West,Sports,Card,4,12077.89,415.42,1343,0,6.7,11.5,0.38,64,0
10092,27.0,South,Fashion,Card,8,4226.11,2640.0,67,0,5.7,4.0,0.13,39,0
10093,33.0,West,Beauty,UPI,2,2384.08,1118.68,1309,1,6.1,7.5,0.22,65,0
10094,19.0,North,Fashion,UPI,4,18981.2,1787.65,63,1,5.3,6.2,0.84,77,0
10095,44.0,East,Sports,Net Banking,6,4890.83,2788.57,1300,0,7.0,2.8,0.75,86,1
10096,22.0,East,Fashion,COD,3,8423.72,2185.6,497,2,6.2,8.1,0.21,54,0
10097,32.0,West,Electronics,COD,5,7998.36,1677.09,604,0,3.8,4.0,0.56,64,0
10098,49.0,West,Home,Net Banking,6,18651.51,1429.18,1514,2,5.9,10.6,0.66,71,0
10099,61.0,North,Home,UPI,5,5054.69,2005.56,1598,2,3.8,6.4,0.31,76,0
10100,31.0,North,Beauty,Card,7,8780.15,1611.37,737,1,4.9,5.0,0.57,66,0
10101,37.0,East,Sports,Card,4,5764.75,1851.86,609,1,2.3,5.7,0.78,60,0
10102,51.0,West,Fashion,UPI,6,22228.39,1063.39,538,2,3.6,7.2,0.07,37,0
10103,22.0,West,Beauty,Card,5,8942.57,280.84,1422,1,4.4,8.5,0.19,41,0
10104,50.0,South,Home,UPI,4,6428.38,1988.58,634,0,3.6,3.8,0.83,80,1
10105,27.0,South,Electronics,Card,5,2163.42,4432.73,57,0,1.9,4.2,0.31,92,1
10106,31.0,West,Electronics,Card,12,16610.19,2000.2,494,0,5.5,4.1,0.15,19,0
10107,61.0,West,Fashion,UPI,6,6992.52,2617.5,703,2,3.3,6.8,0.19,49,0
10108,31.0,South,Home,COD,3,11159.76,2041.9,672,1,3.1,8.4,0.39,67,0
10109,19.0,North,Fashion,UPI,5,9387.79,1928.22,610,1,7.1,15.9,0.22,39,0
10110,55.0,West,Electronics,UPI,6,5922.76,2727.73,913,1,2.0,6.5,0.73,48,0
10111,42.0,South,Sports,COD,6,4738.47,955.12,524,1,6.1,1.0,0.3,49,1
10112,23.0,South,Electronics,UPI,8,7323.42,2583.46,622,2,5.8,10.4,0.7,64,0
10113,40.0,South,Beauty,UPI,9,8221.13,1012.73,443,1,3.7,4.7,0.46,28,0
10114,58.0,East,Sports,Net Banking,7,5960.65,3093.36,726,3,2.1,5.7,0.4,52,1
10115,27.0,South,Electronics,UPI,6,3451.54,3940.02,1266,2,2.0,7.1,0.33,50,0
10116,52.0,South,Fashion,COD,7,3698.61,1442.15,845,1,6.4,4.4,0.73,70,1
10117,27.0,South,Fashion,Net Banking,6,8637.73,2127.75,1585,0,2.1,7.5,0.67,76,0
10118,53.0,East,Home,Card,6,6857.17,4236.63,1065,0,4.0,5.5,0.82,96,1
10119,20.0,East,Electronics,UPI,6,5183.33,862.77,821,1,8.0,8.7,0.35,82,1
10120,18.0,South,Beauty,COD,7,5690.84,1665.82,1236,0,4.3,8.2,0.27,58,0
10121,42.0,West,Beauty,COD,9,5913.12,2804.84,400,1,4.1,9.4,0.3,44,0
10122,38.0,South,Fashion,Card,9,1805.13,2238.21,1529,1,3.0,4.2,0.49,54,0
10123,42.0,East,Beauty,UPI,5,8096.33,3079.05,1464,1,7.2,7.6,0.62,77,0
10124,32.0,West,Beauty,UPI,2,9561.85,2073.39,1369,2,2.9,3.5,0.42,78,0
10125,59.0,West,Sports,Net Banking,11,2878.28,1030.72,1085,1,4.2,8.9,0.26,40,0
10126,61.0,West,Home,Card,4,2279.07,2236.2,839,0,5.7,2.0,0.51,96,1
10127,56.0,East,Beauty,Card,5,14603.95,2319.24,927,2,5.5,9.9,0.46,69,0
10128,40.0,South,Home,UPI,5,5790.57,1277.56,94,0,3.5,4.0,0.18,19,0
10129,60.0,West,Home,COD,5,7236.34,3408.64,926,4,4.4,8.9,0.71,55,0
10130,24.0,East,Electronics,UPI,6,14473.17,2204.03,1184,0,5.2,3.0,0.2,51,0
10131,58.0,South,Beauty,COD,3,5803.48,1487.83,863,0,6.5,1.0,0.79,51,1
10132,57.0,East,Home,COD,9,18980.69,1378.58,1379,1,2.5,2.3,0.66,59,0
10133,33.0,East,Sports,UPI,4,10841.48,2688.16,654,1,3.3,11.3,0.84,66,0
10134,20.0,South,Electronics,COD,9,13623.17,1328.05,644,0,7.1,8.9,0.41,18,0
10135,18.0,West,Home,UPI,5,13305.01,808.6,1177,1,2.3,8.0,0.68,59,0
10136,44.0,West,Fashion,Card,10,15331.2,6867.05,1449,1,5.8,2.4,0.54,66,0
10137,25.0,West,Fashion,Card,10,15362.72,446.77,923,1,5.2,8.0,0.77,67,0
10138,51.0,South,Sports,COD,5,8933.09,3693.37,1522,1,3.8,5.9,0.46,48,0
10139,34.0,South,Sports,Card,5,3723.87,1030.6,1364,0,5.9,6.0,0.58,77,0
10140,51.0,South,Electronics,UPI,4,9697.06,1773.05,1133,2,4.9,7.6,0.25,80,1
10141,57.0,South,Fashion,Card,5,5848.6,2536.4,1464,1,3.8,2.2,0.42,55,1
10142,44.0,West,Beauty,Net Banking,6,11240.96,1048.13,989,0,1.0,7.7,0.52,77,0
10143,43.0,North,Electronics,Net Banking,4,13131.2,839.71,135,0,6.3,11.5,0.68,59,1
10144,28.0,South,Home,Card,10,6751.83,1518.32,877,0,3.1,7.9,0.06,43,0
10145,28.0,North,Sports,UPI,3,10162.27,2421.98,392,1,1.8,5.8,0.32,81,0
10146,44.0,South,Sports,UPI,5,13450.81,3936.44,1052,0,4.0,11.0,0.34,55,0
10147,60.0,North,Sports,Net Banking,9,12722.12,1565.64,1262,1,6.7,3.0,0.79,53,0
10148,18.0,West,Fashion,COD,7,24057.82,723.82,1161,3,6.0,10.1,0.29,67,0
10149,44.0,South,Fashion,Card,3,2535.43,3394.26,898,0,5.8,6.5,0.71,67,1
10150,65.0,East,Beauty,Net Banking,7,3600.37,3159.88,113,0,3.5,10.2,0.81,84,0
10151,35.0,North,Fashion,UPI,5,8987.15,5209.03,978,1,4.8,8.9,0.6,44,0
10152,28.0,North,Home,Card,9,11767.46,2489.59,1582,1,7.6,7.6,0.77,38,0
10153,27.0,East,Electronics,UPI,6,13982.78,2128.95,803,2,5.6,7.5,0.25,72,0
10154,55.0,North,Sports,Net Banking,5,10730.73,1299.68,1574,4,6.8,6.7,0.81,60,0
10155,55.0,East,Sports,Net Banking,6,16305.21,1974.6,718,1,3.4,5.2,0.69,67,1
10156,18.0,North,Electronics,Card,7,3947.78,2287.26,851,1,3.9,12.1,0.61,29,0
10157,35.0,North,Sports,UPI,4,13775.91,1429.53,1030,0,5.8,8.8,0.39,63,0
10158,52.0,South,Beauty,COD,7,9101.77,1031.47,353,0,3.8,10.1,0.79,68,0
10159,23.0,North,Home,UPI,2,9709.49,3082.54,1572,0,3.4,3.8,0.41,88,1
10160,56.0,West,Beauty,UPI,5,1483.7,2052.11,1460,0,5.2,7.0,0.75,64,0
10161,40.0,West,Electronics,COD,3,16903.97,2495.56,839,0,6.2,8.4,0.68,75,0
10162,50.0,South,Beauty,COD,8,12751.28,6079.55,204,0,5.0,5.6,0.48,65,0
10163,33.0,South,Beauty,UPI,3,19429.27,2773.88,384,2,6.5,5.1,0.58,76,1
10164,46.0,South,Home,Card,7,26593.62,2953.84,138,0,6.6,8.7,0.61,39,0
10165,21.0,South,Sports,Card,3,27802.99,3635.05,166,1,2.6,8.3,0.22,55,0
10166,45.0,North,Fashion,COD,7,13156.19,859.0,116,1,2.4,2.6,0.2,48,0
10167,27.0,East,Home,UPI,3,10093.71,400.02,35,2,4.3,11.0,0.75,71,0
10168,28.0,West,Electronics,COD,6,5003.47,1693.75,353,1,4.4,6.3,0.59,66,0
10169,62.0,West,Home,Card,6,12055.43,1751.98,927,1,5.4,4.1,0.8,79,1
10170,48.0,South,Beauty,Card,5,7134.43,1377.92,1440,0,5.1,5.1,0.78,83,1
10171,48.0,North,Fashion,Net Banking,7,8707.99,861.59,1180,1,3.0,10.3,0.53,63,0
10172,47.0,North,Electronics,Net Banking,6,18677.63,1858.56,1075,1,5.5,6.8,0.41,59,0
10173,28.0,South,Sports,UPI,5,25316.06,509.04,737,0,7.1,6.0,0.67,69,0
10174,40.0,West,Fashion,UPI,6,6838.37,946.93,1484,2,5.7,9.5,0.54,62,0
10175,32.0,West,Fashion,COD,5,26356.44,2183.79,710,1,4.8,6.2,0.21,52,0
10176,18.0,West,Fashion,UPI,6,18650.42,4208.73,604,1,1.9,5.4,0.66,51,0
10177,37.0,North,Electronics,Card,4,17890.52,993.23,1156,0,5.1,10.1,0.7,79,0
10178,32.0,North,Home,Card,4,6834.62,2080.34,770,1,1.0,7.7,0.35,60,0
10179,33.0,North,Sports,COD,5,16472.12,1712.43,660,0,2.6,11.7,0.3,24,0
10180,50.0,West,Beauty,COD,8,8994.34,982.27,1456,2,3.1,11.2,0.64,67,1
10181,18.0,South,Sports,Card,4,12189.64,888.17,1141,1,2.9,5.1,0.7,77,0
10182,22.0,South,Electronics,UPI,5,20833.58,1485.92,339,2,3.2,8.2,0.36,40,0
10183,53.0,East,Fashion,Net Banking,6,14321.82,1768.0,194,1,7.2,8.3,0.71,65,0
10184,39.0,South,Fashion,Net Banking,7,12433.19,2327.67,276,0,3.3,1.0,0.79,78,1
10185,33.0,North,Fashion,UPI,7,5358.56,1966.07,550,1,4.5,4.3,0.32,55,0
10186,51.0,North,Home,COD,6,3943.06,2443.48,1005,1,2.3,2.0,0.33,24,0
10187,45.0,West,Home,UPI,4,10160.5,1955.04,869,2,5.5,9.5,0.49,27,0
10188,60.0,South,Sports,UPI,9,3375.01,2616.44,1103,1,3.7,8.3,0.46,68,0
10189,51.0,West,Sports,Card,7,17606.5,4707.25,1154,0,5.4,11.9,0.3,26,0
10190,22.0,West,Home,UPI,11,7514.52,1955.94,1363,0,3.2,6.4,0.38,43,0
10191,48.0,East,Home,UPI,7,10320.0,1399.12,968,2,6.0,5.7,0.36,18,0
10192,59.0,West,Sports,UPI,11,5737.73,2455.84,785,1,4.7,3.4,0.5,18,0
10193,24.0,North,Fashion,Net Banking,5,8960.37,2992.65,701,0,5.6,8.5,0.5,82,1
10194,37.0,West,Electronics,Card,5,7042.63,3945.78,1012,0,6.1,9.5,0.35,67,0
10195,24.0,South,Sports,UPI,2,5555.88,6359.13,1322,3,6.7,5.0,0.58,80,1
10196,41.0,South,Sports,Card,6,18443.35,2584.92,904,0,4.7,15.0,0.09,59,0
10197,19.0,West,Electronics,Card,4,3353.75,1418.36,1068,2,2.9,8.9,0.4,73,0
10198,38.0,East,Fashion,COD,4,1528.54,3354.51,923,0,2.8,1.0,0.61,76,1
10199,63.0,East,Electronics,UPI,5,16488.88,5582.98,1429,0,7.1,11.5,0.28,37,0
10200,55.0,East,Fashion,UPI,8,22739.55,1599.85,1330,0,8.3,2.8,0.72,66,0
10201,21.0,West,Sports,COD,8,9306.68,1820.2,548,1,2.9,7.7,0.82,56,0
10202,47.0,South,Electronics,Card,11,6093.76,1182.61,53,0,3.8,6.5,0.17,11,0
10203,45.0,South,Electronics,UPI,8,7978.64,794.88,836,0,2.1,3.6,0.59,32,0
10204,36.0,South,Beauty,UPI,4,9283.47,1689.41,874,2,2.9,7.4,0.45,59,0
10205,31.0,South,Home,Card,6,11459.06,2372.85,291,1,4.9,9.5,0.05,43,0
10206,61.0,East,Electronics,COD,10,2023.09,3656.96,599,0,6.0,6.8,0.28,18,0
10207,50.0,South,Sports,UPI,9,8329.37,1529.0,1399,2,2.5,10.4,0.05,34,0
10208,23.0,South,Home,COD,6,22801.9,1285.81,1584,1,5.9,6.3,0.74,50,1
10209,64.0,North,Home,Net Banking,4,9994.43,3262.23,481,2,4.9,5.8,0.26,51,0
10210,32.0,East,Fashion,Card,6,8592.11,3995.49,1070,0,3.0,8.7,0.37,26,0
10211,44.0,South,Fashion,UPI,5,30489.38,924.93,413,0,6.9,7.5,0.75,31,0
10212,50.0,West,Sports,UPI,7,7312.07,1884.9,1297,1,5.2,12.1,0.76,80,1
10213,42.0,South,Fashion,COD,5,464.42,2979.46,997,2,4.4,8.4,0.53,72,0
10214,39.0,South,Electronics,Net Banking,5,13993.25,1505.4,504,3,4.4,12.3,0.15,30,0
10215,31.0,East,Electronics,COD,9,6609.11,3154.83,672,0,3.2,5.7,0.69,28,0
10216,24.0,South,Beauty,Card,8,9646.35,6054.85,754,0,6.9,6.9,0.73,51,0
10217,25.0,South,Beauty,Net Banking,6,10444.31,755.02,637,4,3.4,8.7,0.69,65,0
10218,51.0,North,Sports,Net Banking,12,6849.34,2440.49,662,1,3.2,8.9,0.5,22,0
10219,31.0,South,Fashion,UPI,6,9338.15,2167.72,121,0,4.4,7.5,0.29,25,0
10220,25.0,South,Beauty,COD,5,5068.07,1075.62,352,2,2.7,5.5,0.5,90,1
10221,39.0,North,Home,UPI,6,5141.06,2012.48,153,2,1.6,11.1,0.8,77,0
10222,32.0,North,Home,Card,10,15271.6,2097.63,374,3,8.5,10.2,0.1,30,0
10223,38.0,East,Fashion,UPI,5,10378.4,1129.09,679,0,5.0,1.0,0.74,92,1
10224,60.0,South,Fashion,Card,5,9651.14,4376.11,799,1,3.6,4.4,0.59,87,1
10225,30.0,South,Fashion,UPI,6,9265.78,1856.2,46,1,2.6,6.6,0.24,61,0
10226,63.0,North,Fashion,COD,10,6817.49,2845.28,410,0,7.8,6.1,0.45,73,0
10227,50.0,East,Home,UPI,7,8935.81,2280.42,263,0,6.4,7.7,0.21,56,0
10228,20.0,West,Beauty,UPI,5,8139.45,582.06,1152,0,3.3,2.0,0.38,87,0
10229,29.0,West,Electronics,Card,4,4937.88,5434.16,972,0,6.3,6.9,0.27,58,0
10230,20.0,East,Beauty,UPI,6,4161.17,1779.0,1294,1,4.2,11.2,0.49,58,0
10231,35.0,South,Electronics,COD,8,7639.8,3672.98,996,0,5.3,12.4,0.22,48,0
10232,23.0,East,Home,UPI,10,14769.93,1602.11,568,1,5.2,5.7,0.25,49,0
10233,38.0,South,Sports,COD,6,15221.0,3562.59,1018,1,8.6,8.2,0.47,43,0
10234,44.0,North,Home,UPI,8,6202.82,1999.71,196,4,4.4,5.6,0.73,82,1
10235,43.0,North,Fashion,Card,4,6053.88,437.09,541,2,4.1,7.0,0.77,93,1
10236,30.0,East,Fashion,Net Banking,7,8481.56,3076.39,1077,0,1.0,6.7,0.59,70,0
10237,22.0,South,Home,COD,3,2093.05,3926.62,268,1,6.6,7.3,0.11,35,0
10238,19.0,North,Beauty,UPI,8,5524.38,1112.51,537,1,8.8,10.6,0.21,23,0
10239,23.0,East,Sports,COD,8,7183.01,1551.17,1138,1,2.6,5.4,0.81,54,0
10240,57.0,East,Electronics,UPI,9,12406.08,3217.3,834,0,5.8,7.8,0.46,49,0
10241,33.0,South,Sports,COD,4,26964.13,1524.01,704,0,6.0,8.1,0.83,53,0
10242,36.0,North,Sports,Net Banking,3,4885.79,2913.09,962,0,4.4,11.1,0.55,85,1
10243,19.0,South,Fashion,COD,9,6193.42,2770.75,1595,1,3.8,8.4,0.28,54,0
10244,20.0,East,Sports,COD,4,14566.36,3613.07,878,1,3.1,4.8,0.67,108,1
10245,64.0,North,Electronics,Card,3,18373.48,4188.62,386,0,4.8,8.9,0.46,64,0
10246,20.0,West,Beauty,UPI,7,6853.4,1080.36,1524,1,5.1,7.7,0.23,51,0
10247,45.0,North,Beauty,UPI,6,5893.38,2340.88,829,1,5.7,8.4,0.34,49,0
10248,58.0,South,Sports,UPI,9,20071.11,1337.14,59,3,4.9,11.0,0.16,32,0
10249,27.0,West,Electronics,UPI,3,8416.51,559.57,1216,0,3.6,8.1,0.34,70,0
10250,23.0,East,Home,UPI,4,8343.74,2287.56,237,2,4.6,9.3,0.49,56,0
10251,31.0,East,Fashion,UPI,4,20150.45,2112.44,518,0,6.0,6.0,0.26,45,0
10252,20.0,West,Home,UPI,5,15581.92,2760.68,748,1,4.2,13.5,0.83,41,0
10253,34.0,North,Fashion,Card,8,4869.49,3184.42,1531,0,4.9,9.1,0.8,69,0
10254,49.0,West,Beauty,UPI,10,10405.54,1186.72,126,1,4.0,4.4,0.67,40,0
10255,26.0,West,Beauty,UPI,7,13416.93,923.66,605,2,4.5,4.3,0.3,79,0
10256,18.0,South,Electronics,Net Banking,2,18770.69,875.57,1060,0,4.8,10.9,0.82,107,0
10257,38.0,South,Sports,COD,7,6012.54,3307.9,1532,2,4.4,6.7,0.4,52,0
10258,50.0,West,Fashion,Card,4,11411.96,1936.18,1446,0,7.1,9.7,0.72,68,0
10259,43.0,East,Beauty,UPI,8,11140.21,1068.47,86,2,3.0,8.0,0.1,13,0
10260,63.0,South,Home,Card,2,3991.62,2460.26,277,0,4.2,4.6,0.75,95,1
10261,29.0,West,Home,Card,4,7426.44,1184.64,155,0,2.8,2.4,0.17,76,0
10262,29.0,South,Sports,COD,8,4297.17,1227.69,147,2,6.2,8.2,0.51,60,0
10263,24.0,East,Fashion,UPI,7,6587.9,2129.66,1508,1,6.0,2.9,0.3,69,0
10264,51.0,West,Beauty,Net Banking,7,9557.05,3260.69,694,0,5.3,2.2,0.15,42,0
10265,23.0,West,Electronics,Card,8,10059.06,3114.92,756,1,1.9,6.6,0.08,63,0
10266,32.0,South,Beauty,UPI,6,5457.97,1947.99,163,0,4.2,8.6,0.05,4,0
10267,27.0,West,Home,Card,2,17374.77,2155.32,176,0,3.6,8.5,0.32,62,0
10268,27.0,North,Beauty,UPI,9,9519.09,2326.9,152,0,5.1,5.6,0.25,59,0
10269,20.0,South,Home,COD,7,14907.11,500.36,539,0,3.3,5.2,0.15,42,0
10270,24.0,East,Home,Net Banking,9,10380.44,1758.02,246,1,4.8,12.7,0.41,12,0
10271,37.0,West,Electronics,COD,8,14825.31,1775.42,616,0,6.9,4.4,0.79,74,0
10272,47.0,North,Fashion,Card,6,12335.06,3430.01,1553,0,4.3,4.7,0.71,89,1
10273,39.0,South,Home,UPI,4,13634.16,2143.26,1281,0,5.3,10.1,0.52,57,0
10274,57.0,North,Electronics,Net Banking,7,2253.46,1149.36,231,1,6.8,7.5,0.66,71,0
10275,22.0,North,Fashion,UPI,7,12059.34,1741.8,569,0,3.5,7.6,0.52,34,0
10276,24.0,East,Fashion,UPI,6,17893.97,2336.95,1111,1,4.9,10.5,0.49,57,0
10277,23.0,South,Sports,UPI,8,17550.01,2761.15,34,1,1.8,5.2,0.18,62,0
10278,19.0,South,Home,Card,7,9788.5,2633.52,575,1,6.8,5.0,0.69,77,0
10279,47.0,South,Electronics,COD,7,20801.3,2209.53,1515,2,5.3,5.5,0.35,49,0
